id,name,artists,year,popularity,key,tempo,acousticness,duration_ms,danceability,energy,explicit,instrumentalness,liveness,loudness,mode,speechiness,valence
1so85Or3C7J0sBnBOucVBA,The Lion Sleeps Tonight,['Tight Fit'],2010,57,5,121.105,0.0153,192667,0.637,0.706,0,1.99E-06,0.167,-9.445,1,0.0349,0.858
1d150ahPbFUS7Cbe5hcJdn,NOBO,['Tijuana Panthers'],2014,48,9,110.815,0.0571,247390,0.398,0.776,0,0.0172,0.303,-7.388,0,0.0374,0.686
4ZlQzskKkK4jsbcqO96luB,Blow My Brains Out,['Tikkle Me'],2010,47,9,145.029,0.0867,222404,0.55,0.884,0,1.55E-05,0.68,-5.508,1,0.0363,0.549
7tSO7DrrYpiMXX3zM4b3oM,Seek Bromance - Avicii Vocal Edit,"['Tim Berg', 'Avicii']",2010,60,1,125.965,0.0896,200992,0.49,0.811,0,0,0.0898,-2.524,0,0.044,0.547
5BIgbz2Dy7X2I0bnkKH9Mb,Seek Bromance (Avicii Vocal Edit),['Tim Berg'],2010,51,1,125.965,0.0896,200992,0.49,0.811,0,0,0.0898,-2.524,0,0.044,0.547
0uOd48gTo5pVFzk6Yrba6Y,Here I Am To Worship,['Tim Hughes'],2012,53,4,150.027,0.0035,317113,0.38,0.783,0,3.87E-06,0.056,-6.067,1,0.0462,0.238
1dbcjcCKeAc7Q9uz4wcLRZ,Hope,"['Tim Legend', 'Naomi Wild']",2016,53,11,142.971,0.195,173931,0.822,0.604,0,0,0.0833,-6.231,0,0.339,0.291
5FIb3CWPjub8C5Yu2IxzTj,Diamond Rings And Old Barstools,"['Tim McGraw', 'Catherine Dunn']",2014,50,5,70.997,0.404,197227,0.54,0.495,0,0.00011,0.124,-6.386,1,0.0268,0.338
7nEdCj0MFbGWOxwjlpPesa,It's Your Love,"['Tim McGraw', 'Faith Hill']",2015,55,7,144.366,0.526,NA,0.474,0.528,0,0,0.109,-8.588,1,0.0276,0.364
2rO28hRLDbsenVjeWvwqQz,Meanwhile Back At Mama's,"['Tim McGraw', 'Faith Hill']",2014,55,6,172.977,0.583,228107,0.524,0.679,0,5.79E-05,0.163,-8.68,1,0.0435,0.676
